Height (m),Width (m),Height-to-Width Ratio,Number of Windows,Columns,Symmetry,Decorative Elements (%),Architectural Style
b'29.889209069266872',b'9.625933308265607',b'3.1050712810986933',b'17',b'0',b'0.9032608666968291',b'25.5602675546799',b'Gothic'
b'25.927065909141852',b'8.186607637415477',b'3.167009713601843',b'20',b'0',b'0.8073076353964234',b'33.200188781517426',b'Gothic'
b'24.092774546015356',b'11.395040996749533',b'2.1143210062068127',b'25',b'1',b'0.8700209041508402',b'38.694875862535824',b'Gothic'
b'16.377896287771105',b'8.17473608938828',b'2.003477067477621',b'18',b'1',b'0.722706079224761',b'22.136130858545055',b'Neoclassical'
b'22.07627100734723',b'19.039773459180935',b'1.1594818107828957',b'23',b'1',b'0.8676364118791315',b'30.61505781356272',b'Gothic'
b'22.28887564187864',b'17.45465924686111',b'1.276958508708033',b'49',b'1',b'0.5054399089179056',b'75.35447281417512',b'Baroque'
b'18.621448757902215',b'20.28680558167749',b'0.9179093614778178',b'26',b'1',b'0.6808994440501118',b'55.984352660162706',b'Baroque'
b'15.642270264222635',b'9.442790948226282',b'1.6565303997501768',b'24',b'1',b'0.9437489483419468',b'26.29873218551043',b'Gothic'
b'25.240772622811065',b'14.869916687525507',b'1.6974387384420084',b'16',b'0',b'0.9217496138708158',b'23.289434900138446',b'Gothic'
b'33.064743495173765',b'11.169020062715886',b'2.960397896100982',b'31',b'1',b'0.6451653073365484',b'81.27296131177565',b'Baroque'
b'23.605611275067886',b'12.462480074571934',b'1.8941343242932889',b'23',b'1',b'0.5982953749362039',b'81.91727379148774',b'Baroque'
b'24.24602387204705',b'13.831188771826683',b'1.7529963817307426',b'28',b'1',b'0.8355344165536307',b'18.86000929429315',b'Gothic'
b'21.461891714522014',b'15.691529344478901',b'1.3677374106350844',b'24',b'1',b'0.6651949884328747',b'77.71125153295566',b'Baroque'
b'20.509441977954953',b'9.89856923407299',b'2.071960249301189',b'26',b'1',b'0.9293082300107722',b'18.09647438172839',b'Gothic'
b'17.041112429224366',b'5.769663956353238',b'2.9535710499152428',b'15',b'0',b'0.8931994114419642',b'14.37801166045328',b'Gothic'
b'24.45532886373142',b'23.955050289795487',b'1.0208840544220876',b'43',b'1',b'0.6894317564411472',b'78.90088939607531',b'Baroque'
b'23.52515549657071',b'11.427633577565185',b'2.058620040351615',b'20',b'1',b'0.800831442311967',b'39.94459311732022',b'Gothic'
b'21.18385108651921',b'15.869434121423346',b'1.3348838354558294',b'15',b'1',b'0.9854197775729256',b'28.067016417427876',b'Neoclassical'
b'23.280964051226583',b'16.612508531507892',b'1.401411713774055',b'29',b'1',b'0.9095567194736538',b'10.306418016304194',b'Gothic'
b'21.35383860391449',b'12.768005190089012',b'1.6724490855071168',b'10',b'1',b'0.7071579726210011',b'29.796942715894232',b'Neoclassical'
b'13.223802732216013',b'9.54826956750286',b'1.3849423331346529',b'23',b'1',b'0.8560575887970076',b'11.774387156998218',b'Gothic'
b'17.441953264067795',b'12.379331695371908',b'1.408957582951637',b'22',b'0',b'0.8803336926289912',b'35.50471282086641',b'Gothic'
b'16.503606922362096',b'11.311723031212919',b'1.4589825861915988',b'11',b'1',b'0.8274879528638914',b'12.709941936282005',b'Neoclassical'
b'19.184358753413544',b'17.967673350886606',b'1.067715244971709',b'19',b'1',b'0.7142163238327015',b'16.50931642079754',b'Neoclassical'
b'35.13295747109454',b'12.788967029076893',b'2.7471301936439847',b'39',b'1',b'0.5984519308217604',b'66.09407673459029',b'Baroque'
b'22.17663243972635',b'10.369859069397437',b'2.1385664251862364',b'20',b'1',b'0.8999132470763843',b'20.942629945977394',b'Gothic'
b'33.6926070387443',b'9.671120546342923',b'3.4838369429160885',b'49',b'1',b'0.6534588783683157',b'87.5095059600571',b'Baroque'
b'16.206004116271288',b'17.803616897732276',b'0.9102647068492873',b'21',b'1',b'0.6508387699765041',b'87.55131525748507',b'Baroque'
b'35.47706127325739',b'17.728799166634634',b'2.00109781490586',b'25',b'1',b'0.6196732317946444',b'65.29685127333363',b'Baroque'
b'11.157551088090926',b'14.262636884898775',b'0.782292305282237',b'12',b'1',b'0.9260805752640751',b'12.966616805537344',b'Neoclassical'
b'16.23513194702054',b'15.749314185038356',b'1.0308469153814777',b'45',b'1',b'0.6364922446164556',b'65.30282210591218',b'Baroque'
b'21.917748038539962',b'14.182982180625409',b'1.5453553956008343',b'27',b'0',b'0.8414817792919324',b'24.504435964536892',b'Gothic'
b'13.860716128910195',b'17.60005055096801',b'0.7875384271636566',b'19',b'1',b'0.9884530673163581',b'15.240752597229699',b'Neoclassical'
b'16.06749937462071',b'14.991568311100973',b'1.0717690798715855',b'17',b'1',b'0.9229801579016167',b'24.146085766869845',b'Neoclassical'
b'14.194901755482492',b'17.97393495279442',b'0.7897492559510794',b'13',b'1',b'0.7014849429146044',b'24.689441506333633',b'Neoclassical'
b'17.463287524862',b'17.750521455433727',b'0.9838182821111545',b'20',b'1',b'0.8322637715304702',b'21.147940758672387',b'Neoclassical'
b'17.388916673456734',b'14.60712402781019',b'1.190440817805774',b'24',b'1',b'0.7191486559141297',b'21.71824798431922',b'Neoclassical'
b'16.91148448196614',b'15.33460479600552',b'1.102831452583074',b'11',b'1',b'0.9016953528720584',b'27.993636098609755',b'Neoclassical'
b'27.01648963225761',b'16.587709236558855',b'1.6287052809386127',b'24',b'0',b'0.9098384828773652',b'34.10700923187727',b'Gothic'
b'21.6437817772548',b'9.808627140703843',b'2.2066066399279705',b'19',b'1',b'0.9216870676600928',b'15.636917503637145',b'Gothic'
b'20.447755587568714',b'12.437327185089389',b'1.6440634939702081',b'18',b'1',b'0.9393076410303766',b'29.45103343746658',b'Gothic'
b'17.500716376527222',b'9.269761026988881',b'1.8879360887054089',b'16',b'1',b'0.7657015817308523',b'15.608007337000524',b'Neoclassical'
b'27.074389932616942',b'14.188057539262655',b'1.908252053369103',b'22',b'1',b'0.5677839259059849',b'56.29129323686087',b'Baroque'
b'21.35302306420429',b'6.968097563023937',b'3.0643978318434657',b'40',b'1',b'0.6351233623831346',b'64.4294519772928',b'Baroque'
b'27.105130027453143',b'12.330832829704706',b'2.198158907982069',b'15',b'0',b'0.9201556322775007',b'21.474981626930465',b'Gothic'
b'23.534285645681464',b'13.925122852638118',b'1.6900594626511958',b'29',b'0',b'0.8628517096782384',b'23.630772435405724',b'Gothic'
b'16.02387492721673',b'9.96505654332934',b'1.6080064229984923',b'28',b'0',b'0.9940706969157147',b'37.10154929424688',b'Gothic'
b'21.25790580530394',b'9.3121103433283',b'2.2828236588212523',b'23',b'0',b'0.8595808594273745',b'35.521770089921475',b'Gothic'
b'26.81886089165004',b'7.923877486712404',b'3.3845627896976884',b'15',b'1',b'0.911461050589401',b'34.34419540259421',b'Gothic'
b'26.81058950092875',b'8.036556202722739',b'3.3360793883138',b'24',b'1',b'0.9099490702393899',b'14.63042507439519',b'Gothic'
b'28.59902593748236',b'9.655470179927573',b'2.9619506253497523',b'21',b'1',b'0.5767460864443879',b'55.92494536115286',b'Baroque'
b'22.249930145125074',b'6.675129988083479',b'3.3332579567507916',b'27',b'0',b'0.8034719237234896',b'28.077369852850826',b'Gothic'
b'32.257381521650636',b'12.821861719845174',b'2.515811059771759',b'26',b'1',b'0.6462040892433794',b'77.04892304563846',b'Baroque'
b'13.246801253349357',b'16.629474749861544',b'0.7965856680746726',b'14',b'1',b'0.8970164175421179',b'25.015265786004605',b'Neoclassical'
b'14.283514799610263',b'9.84666312167894',b'1.4505944423104018',b'11',b'1',b'0.9802771964139045',b'13.140714229898286',b'Neoclassical'
b'16.69082874827804',b'6.466690852013498',b'2.581046338883064',b'18',b'1',b'0.9200004963751592',b'27.66958036030234',b'Neoclassical'
b'18.060020457540002',b'13.947310071202605',b'1.294874808500101',b'39',b'1',b'0.5972069395746167',b'86.6367005534193',b'Baroque'
b'13.49961550022298',b'12.216823758822846',b'1.105002066553814',b'22',b'1',b'0.718132654092628',b'20.00852795760961',b'Neoclassical'
b'29.769133631534203',b'13.365969197162102',b'2.22723344580615',b'29',b'1',b'0.6525421473637286',b'66.48306529200215',b'Baroque'
b'33.615856240691784',b'22.900961242431304',b'1.4678797053465045',b'21',b'1',b'0.6820004782825876',b'72.83270920181621',b'Baroque'
b'15.531714880373407',b'7.134988582250535',b'2.176838084788407',b'49',b'1',b'0.6426841072441747',b'54.013673731457786',b'Baroque'
b'10.922484343660663',b'14.28134150640953',b'0.7648080076201947',b'10',b'1',b'0.7998251833170136',b'28.973044459667136',b'Neoclassical'
b'18.269125367704664',b'15.50923137384036',b'1.1779516938872585',b'33',b'1',b'0.5668665290439945',b'56.9389000941974',b'Baroque'
b'22.50524505702927',b'13.041902254909152',b'1.7256106216068279',b'24',b'1',b'0.9533408765401115',b'28.810008671124766',b'Neoclassical'
b'23.80939986421662',b'16.300533985768606',b'1.4606515274287166',b'14',b'1',b'0.9555153605897031',b'17.856338091376358',b'Neoclassical'
b'22.845948804516826',b'12.87343319544785',b'1.774658590110627',b'20',b'0',b'0.8733688330646883',b'39.80502957054155',b'Gothic'
b'30.626445837760322',b'9.420242982392931',b'3.251131196403661',b'28',b'0',b'0.9795978784331445',b'10.200769659466038',b'Gothic'
b'35.866102081344536',b'12.842667393594816',b'2.7927299666136713',b'46',b'1',b'0.500292087188649',b'63.104313487792304',b'Baroque'
b'16.678798760992084',b'11.962023776245085',b'1.3943124569033092',b'19',b'1',b'0.7846247547267153',b'29.811546077966725',b'Neoclassical'
b'22.560173940078045',b'13.619370908855528',b'1.656476946773589',b'21',b'0',b'0.8005020902001103',b'29.187169422583164',b'Gothic'
b'17.32956396762978',b'9.932731516472547',b'1.744692679842423',b'24',b'1',b'0.9081822972852873',b'20.278445727476623',b'Neoclassical'
b'18.575563916237087',b'15.46375704439065',b'1.2012322660601564',b'21',b'1',b'0.8462414219961877',b'13.467383841941105',b'Neoclassical'
b'10.516198628017841',b'18.184558377647626',b'0.5783037679344638',b'17',b'1',b'0.8450728601738046',b'28.565122539430654',b'Neoclassical'
b'24.029925230903903',b'14.094834950157338',b'1.7048745385014714',b'29',b'0',b'0.9513848198304572',b'39.15053926423602',b'Gothic'
b'16.816424827020043',b'12.977820449537516',b'1.295781899002873',b'14',b'1',b'0.711325232508988',b'15.888362239743907',b'Neoclassical'
b'25.742201131245917',b'10.856285249871021',b'2.371179509266464',b'29',b'1',b'0.8466817433739993',b'38.092865595979475',b'Gothic'
b'21.616630861177683',b'21.77441101245325',b'0.9927538728287378',b'19',b'1',b'0.9977505135842697',b'10.19400862199667',b'Neoclassical'
b'20.888951321188344',b'16.218575698501628',b'1.2879645974780753',b'17',b'1',b'0.9561195403121374',b'29.17249317717686',b'Neoclassical'
